DATE & TIME,CHOKE,WELL Name,Test,Well Head Pressure  psig,Well Head Temp deg C,Sep. Static Pressure psig,Sep. Gas Temp deg C,Gas Spec. Gravity air=1,Gas Rate Sm3/d,Gas Cumm. Sm3,GOR (Gas/Oil Ratio) m3/m3,Oil Density  g/cm3,Oil Temp deg C, Raw Oil Flow  m3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,WaterDensity Kg/m3,Flow Water Cut  %,,,,,,
28-Oct-20 18:00,40,LCA-3010,sep-movil-r3,1423.8,64.18,1324.03,40.15,-,182541.47,7605.89,4096.683,0.544,54.09,69.19,44.56,12.81,1.07,22.329,182.54,40.96682867,,,,
28-Oct-20 19:00,40,LCA-3010,sep-movil-r3,1431.4,63.95,1337.28,38.91,-,182512.98,7604.71,4073.67,0.545,53.50,69.57,44.80,13.05,1.07,22.557,182.51,40.73670382,,,,
28-Oct-20 20:00,40,LCA-3010,sep-movil-r3,1439.9,63.71,1341.28,38.91,-,182603.67,7608.49,4086.86,0.543,53.11,69.38,44.68,13.15,1.07,22.739,182.60,40.86856031,,,,
28-Oct-20 21:00,40,LCA-3010,sep-movil-r3,1438.7,63.57,1339.77,37.54,-,182993.97,7624.75,4072.11,0.544,52.74,69.78,44.94,13.99,1.07,23.741,182.99,40.72114178,,,,
28-Oct-20 22:00,40,LCA-3010,sep-movil-r3,1433.7,63.59,1337.99,36.67,-,182830.06,7617.92,4072.55,0.542,52.57,69.71,44.89,13.01,1.07,22.469,182.83,40.72552126,,,,
28-Oct-20 23:00,40,LCA-3010,sep-movil-r3,1430.0,62.72,1335.26,32.39,-,182773.81,7615.58,4109.62,0.543,52.88,69.06,44.47,13.11,1.07,22.766,182.77,41.0961865,,,,
29-Oct-20 0:00,40,LCA-3010,sep-movil-r3,1427.0,62.70,1334.52,35.52,-,182448.55,7602.02,4102.31,0.543,52.81,69.06,44.47,12.49,1.07,21.926,182.45,41.02305269,,,,
29-Oct-20 1:00,40,LCA-3010,sep-movil-r3,1423.4,62.45,1319.01,33.80,-,182285.75,7595.24,4073.28,0.545,52.44,69.49,44.75,13.36,1.067,22.990,182.29,40.73282585,,,,
29-Oct-20 2:00,40,LCA-3010,sep-movil-r3,1417.2,62.95,1316.26,37.40,-,182383.91,7599.33,4061.45,0.544,54.05,69.73,44.91,13.35,1.07,22.916,182.38,40.61448863,,,,
29-Oct-20 3:00,40,LCA-3010,sep-movil-r3,1411.6,63.58,1312.90,41.06,-,182473.78,7603.07,4059.38,0.544,56.23,69.80,44.95,13.09,1.07,22.553,182.47,40.59375056,,,,
29-Oct-20 4:00,40,LCA-3010,sep-movil-r3,1408.0,63.70,1304.03,40.76,-,182181.82,7590.91,4087.43,0.545,56.54,69.21,44.57,13.13,1.068,22.755,182.18,40.87429921,,,,
29-Oct-20 5:00,40,LCA-3010,sep-movil-r3,1408.4,63.97,1302.27,38.48,-,182390.14,7599.59,4092.70,0.546,56.17,69.20,44.56,13.33,1.07,23.025,182.39,40.92695132,,,,
29-Oct-20 6:00,40,LCA-3010,sep-movil-r3,1399.1,64.34,1298.58,38.11,-,183573.11,7648.88,4137.78,0.544,54.67,68.89,44.37,13.20,1.07,22.931,183.57,41.37776354,,,,
29-Oct-20 7:00,40,LCA-3010,sep-movil-r3,1406.1,64.48,1312.29,40.36,-,182536.07,7605.67,4043.96,0.544,54.62,70.09,45.14,13.05,1.07,22.427,182.54,40.43959231,,,,
29-Oct-20 8:00,40,LCA-3010,sep-movil-r3,1406.1,64.48,1312.29,40.36,-,183536.07,7647.34,4185.55,0.544,54.62,68.09,43.85,13.75,1.07,23.872,183.54,41.85547034,,,,
29-Oct-20 9:00,40,LCA-3010,sep-movil-r3,1408.3,64.97,1311.25,39.50,-,184537.19,7689.05,4297.37,0.542,56.06,66.68,42.94,10.22,1.07,19.224,184.54,42.97367002,,,,
29-Oct-20 10:00,40,LCA-3010,sep-movil-r3,1410.8,44.49,1315.36,39.28,-,185159.83,7714.99,4288.71,0.543,56.04,67.04,43.17,15.27,1.07,26.128,185.16,42.88712171,,,,
29-Oct-20 11:00,40,LCA-3010,sep-movil-r3,1416.8,64.80,1304.32,39.65,-,185435.93,7726.50,4282.97,0.549,56.78,67.23,43.30,12.66,1.07,22.625,185.44,42.82968774,,,,
29-Oct-20 12:00,40,LCA-3010,sep-movil-r3,1419.6,64.61,1304.47,42.01,-,185110.89,7712.95,4279.92,0.545,57.54,67.16,43.25,13.35,1.068,23.586,185.11,42.79917662,,,,
29-Oct-20 13:00,40,LCA-3010,sep-movil-r3,1423.2,64.12,1312.97,39.20,-,184385.53,7682.73,4298.35,0.543,54.74,66.61,42.90,16.84,1.069,28.190,184.39,42.98347617,,,,
29-Oct-20 14:00,40,LCA-3010,sep-movil-r3,1416.5,64.57,1312.55,41.00,-,184070.70,7669.61,4280.73,0.543,55.35,66.77,43.00,15.31,1.069,26.256,184.07,42.807259,,,,
29-Oct-20 15:00,40,LCA-3010,sep-movil-r3,1412.9,63.83,1312.55,42.76,-,183749.64,7656.24,4226.42,0.542,56.27,67.51,43.48,13.97,1.07,24.318,183.75,42.26418722,,,,
